"tensor(-0.2929, grad_fn=<NegBackward>)","tensor(0.0507, grad_fn=<SmoothL1LossBackward>)"
"tensor(-0.3159, grad_fn=<NegBackward>)","tensor(0.0285, grad_fn=<SmoothL1LossBackward>)"
"tensor(-0.3237, grad_fn=<NegBackward>)","tensor(0.0321, grad_fn=<SmoothL1LossBackward>)"
"tensor(-0.3562, grad_fn=<NegBackward>)","tensor(0.0222, grad_fn=<SmoothL1LossBackward>)"
"tensor(-0.3286, grad_fn=<NegBackward>)","tensor(0.0237, grad_fn=<SmoothL1LossBackward>)"
"tensor(-0.3365, grad_fn=<NegBackward>)","tensor(0.0198, grad_fn=<SmoothL1LossBackward>)"
"tensor(-0.3774, grad_fn=<NegBackward>)","tensor(0.0445, grad_fn=<SmoothL1LossBackward>)"
"tensor(-0.3748, grad_fn=<NegBackward>)","tensor(0.0459, grad_fn=<SmoothL1LossBackward>)"
"tensor(-0.3910, grad_fn=<NegBackward>)","tensor(0.0574, grad_fn=<SmoothL1LossBackward>)"
"tensor(-0.3993, grad_fn=<NegBackward>)","tensor(0.0534, grad_fn=<SmoothL1LossBackward>)"
"tensor(-0.3553, grad_fn=<NegBackward>)","tensor(0.0395, grad_fn=<SmoothL1LossBackward>)"
"tensor(-0.3665, grad_fn=<NegBackward>)","tensor(0.0363, grad_fn=<SmoothL1LossBackward>)"
"tensor(-0.4123, grad_fn=<NegBackward>)","tensor(0.0250, grad_fn=<SmoothL1LossBackward>)"
"tensor(-0.3923, grad_fn=<NegBackward>)","tensor(0.0393, grad_fn=<SmoothL1LossBackward>)"
"tensor(-0.3747, grad_fn=<NegBackward>)","tensor(0.0250, grad_fn=<SmoothL1LossBackward>)"
"tensor(-0.3807, grad_fn=<NegBackward>)","tensor(0.0357, grad_fn=<SmoothL1LossBackward>)"
"tensor(-0.3742, grad_fn=<NegBackward>)","tensor(0.0230, grad_fn=<SmoothL1LossBackward>)"
"tensor(-0.3408, grad_fn=<NegBackward>)","tensor(0.0174, grad_fn=<SmoothL1LossBackward>)"
"tensor(-0.3617, grad_fn=<NegBackward>)","tensor(0.0256, grad_fn=<SmoothL1LossBackward>)"
"tensor(-0.3796, grad_fn=<NegBackward>)","tensor(0.0191, grad_fn=<SmoothL1LossBackward>)"
"tensor(-0.3631, grad_fn=<NegBackward>)","tensor(0.0206, grad_fn=<SmoothL1LossBackward>)"
"tensor(-0.3626, grad_fn=<NegBackward>)","tensor(0.0328, grad_fn=<SmoothL1LossBackward>)"
"tensor(-0.4106, grad_fn=<NegBackward>)","tensor(0.0149, grad_fn=<SmoothL1LossBackward>)"
"tensor(-0.3717, grad_fn=<NegBackward>)","tensor(0.0174, grad_fn=<SmoothL1LossBackward>)"
"tensor(-0.3652, grad_fn=<NegBackward>)","tensor(0.0458, grad_fn=<SmoothL1LossBackward>)"
"tensor(-0.3671, grad_fn=<NegBackward>)","tensor(0.0129, grad_fn=<SmoothL1LossBackward>)"
"tensor(-0.3659, grad_fn=<NegBackward>)","tensor(0.0179, grad_fn=<SmoothL1LossBackward>)"
"tensor(-0.3725, grad_fn=<NegBackward>)","tensor(0.0207, grad_fn=<SmoothL1LossBackward>)"
"tensor(-0.3683, grad_fn=<NegBackward>)","tensor(0.0181, grad_fn=<SmoothL1LossBackward>)"
"tensor(-0.3961, grad_fn=<NegBackward>)","tensor(0.0211, grad_fn=<SmoothL1LossBackward>)"
"tensor(-0.3778, grad_fn=<NegBackward>)","tensor(0.0177, grad_fn=<SmoothL1LossBackward>)"
"tensor(-0.3643, grad_fn=<NegBackward>)","tensor(0.0117, grad_fn=<SmoothL1LossBackward>)"
"tensor(-0.3619, grad_fn=<NegBackward>)","tensor(0.0199, grad_fn=<SmoothL1LossBackward>)"
"tensor(-0.3701, grad_fn=<NegBackward>)","tensor(0.0149, grad_fn=<SmoothL1LossBackward>)"
"tensor(-0.3690, grad_fn=<NegBackward>)","tensor(0.0369, grad_fn=<SmoothL1LossBackward>)"
"tensor(-0.3764, grad_fn=<NegBackward>)","tensor(0.0316, grad_fn=<SmoothL1LossBackward>)"
"tensor(-0.3721, grad_fn=<NegBackward>)","tensor(0.0450, grad_fn=<SmoothL1LossBackward>)"
"tensor(-0.3779, grad_fn=<NegBackward>)","tensor(0.0309, grad_fn=<SmoothL1LossBackward>)"
"tensor(-0.3805, grad_fn=<NegBackward>)","tensor(0.0139, grad_fn=<SmoothL1LossBackward>)"
"tensor(-0.3501, grad_fn=<NegBackward>)","tensor(0.0316, grad_fn=<SmoothL1LossBackward>)"
"tensor(-0.3555, grad_fn=<NegBackward>)","tensor(0.0223, grad_fn=<SmoothL1LossBackward>)"
"tensor(-0.3545, grad_fn=<NegBackward>)","tensor(0.0229, grad_fn=<SmoothL1LossBackward>)"
"tensor(-0.3919, grad_fn=<NegBackward>)","tensor(0.0156, grad_fn=<SmoothL1LossBackward>)"
"tensor(-0.3742, grad_fn=<NegBackward>)","tensor(0.0148, grad_fn=<SmoothL1LossBackward>)"
"tensor(-0.3629, grad_fn=<NegBackward>)","tensor(0.0150, grad_fn=<SmoothL1LossBackward>)"
"tensor(-0.3946, grad_fn=<NegBackward>)","tensor(0.0106, grad_fn=<SmoothL1LossBackward>)"
"tensor(-0.3810, grad_fn=<NegBackward>)","tensor(0.0181, grad_fn=<SmoothL1LossBackward>)"
"tensor(-0.3482, grad_fn=<NegBackward>)","tensor(0.0194, grad_fn=<SmoothL1LossBackward>)"
"tensor(-0.3595, grad_fn=<NegBackward>)","tensor(0.0192, grad_fn=<SmoothL1LossBackward>)"
"tensor(-0.3544, grad_fn=<NegBackward>)","tensor(0.0146, grad_fn=<SmoothL1LossBackward>)"
"tensor(-0.3451, grad_fn=<NegBackward>)","tensor(0.0161, grad_fn=<SmoothL1LossBackward>)"
"tensor(-0.3617, grad_fn=<NegBackward>)","tensor(0.0261, grad_fn=<SmoothL1LossBackward>)"
"tensor(-0.3807, grad_fn=<NegBackward>)","tensor(0.0327, grad_fn=<SmoothL1LossBackward>)"
"tensor(-0.3697, grad_fn=<NegBackward>)","tensor(0.0301, grad_fn=<SmoothL1LossBackward>)"
"tensor(-0.3658, grad_fn=<NegBackward>)","tensor(0.0304, grad_fn=<SmoothL1LossBackward>)"
"tensor(-0.3814, grad_fn=<NegBackward>)","tensor(0.0269, grad_fn=<SmoothL1LossBackward>)"
"tensor(-0.3765, grad_fn=<NegBackward>)","tensor(0.0276, grad_fn=<SmoothL1LossBackward>)"
"tensor(-0.3578, grad_fn=<NegBackward>)","tensor(0.0177, grad_fn=<SmoothL1LossBackward>)"
"tensor(-0.3396, grad_fn=<NegBackward>)","tensor(0.0310, grad_fn=<SmoothL1LossBackward>)"
"tensor(-0.3850, grad_fn=<NegBackward>)","tensor(0.0160, grad_fn=<SmoothL1LossBackward>)"
"tensor(-0.3698, grad_fn=<NegBackward>)","tensor(0.0172, grad_fn=<SmoothL1LossBackward>)"
"tensor(-0.3377, grad_fn=<NegBackward>)","tensor(0.0143, grad_fn=<SmoothL1LossBackward>)"
"tensor(-0.3659, grad_fn=<NegBackward>)","tensor(0.0138, grad_fn=<SmoothL1LossBackward>)"
"tensor(-0.3890, grad_fn=<NegBackward>)","tensor(0.0159, grad_fn=<SmoothL1LossBackward>)"
"tensor(-0.3693, grad_fn=<NegBackward>)","tensor(0.0205, grad_fn=<SmoothL1LossBackward>)"
"tensor(-0.3867, grad_fn=<NegBackward>)","tensor(0.0113, grad_fn=<SmoothL1LossBackward>)"
"tensor(-0.3662, grad_fn=<NegBackward>)","tensor(0.0123, grad_fn=<SmoothL1LossBackward>)"
"tensor(-0.3819, grad_fn=<NegBackward>)","tensor(0.0238, grad_fn=<SmoothL1LossBackward>)"
"tensor(-0.3749, grad_fn=<NegBackward>)","tensor(0.0149, grad_fn=<SmoothL1LossBackward>)"
"tensor(-0.3357, grad_fn=<NegBackward>)","tensor(0.0221, grad_fn=<SmoothL1LossBackward>)"
